LEMMA	FORM	ROOT_NEW	BW	GLOSS	FEAT	COND-T	COND-S
$Arotiy~ap	$Arotiy~	NTWS	NOUN	Chartism;Chartist_movement	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$aroTuwniy~	$aroTuwniy~	$.r.T.n	NOUN	consecration;ordination;simony	pos:noun gen:- num:- rat:r cas:u	FS||FD||FP	
$arowap	$arow	$.r.w	NOUN	purchase;buying	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$arowaY	$arow	$.r.w	NOUN	peer;equal	pos:noun gen:- num:- rat:i cas:u	MS	#aY-Ap-y
$arox	$arox	$.r.x	NOUN	fracture;fissure	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$arox	$arox	$.r.x	NOUN	prime_of_youth	pos:noun gen:- num:- rat:i cas:u	MS	
$arox	$uruwx	$.r.x	NOUN	fractures;fissures	pos:noun gen:- num:p rat:i cas:u	MS	
$aroy	$aroy	$.r.y	NOUN	colocynth	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aruwd	$aruwd	$.r.d	NOUN	straying;aberrant	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
$aruwd	$urud	$.r.d	NOUN	straying;aberrant	pos:noun gen:m num:p rat:i cas:u	MS	
$Aruwniy~	$Aruwniy~	NTWS	ADJ	Sharonist	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$Aruwniy~	$Aruwniy~	NTWS	NOUN	Sharonist	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
$aSarap	$aSar	$.S.r	NOUN	gazelle	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$AsiE	$AsiE	$.s.E	ADJ	wide;vast;extensive;huge	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$Asiy	$Asiy	$.s.y	NOUN	chassis	pos:noun gen:- num:- rat:i cas:u	MS	
$Asiy	$Asiyh	$.s.y	NOUN	chassis	pos:noun gen:m num:- rat:i cas:u	FP	
$Asiy	$Asiyh	$.s.y	NOUN	chassis	pos:noun gen:- num:- rat:i cas:u	MS	
$at~	>a$otAt	$.t.t	ADJ	dispersed;scattered	pos:adj gen:m num:p rat:n cas:u	MS	
$at~	>a$otAt	$.t.t	NOUN	varieties	pos:noun gen:m num:p rat:i cas:u	MS	
$at~	$at~	$.t.t	ADJ	dispersed;scattered	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$at~	$at~	$.t.t	NOUN	dispersed;scattered	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
$aT~	$aT~	$.T.T	NOUN	shore;bank	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aT~	$uTuwT	$.T.T	NOUN	shores;banks	pos:noun gen:- num:p rat:i cas:u	MS	
$at~Am	$at~Am	$.t.m	NOUN	insolent;abusive	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
$aT~ap	$aT~	$.T.T	NOUN	hot_pepper	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$at~aY	$at~	$.t.t	NOUN	all;variety	pos:noun gen:f num:- rat:i cas:u	MS	#aY-Ap-y
$aT~iy~	$aT~iy~	$.T.T	ADJ	littoral	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$aTArap	$aTAr	$.T.r	NOUN	cleverness	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$atAt	$atAt	$.t.t	ADJ	dispersed;scattered	pos:adj gen:m num:p rat:n cas:u	MS	
$aTaT	$aTaT	$.T.T	NOUN	excess;deviation	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$atAt	$atiyt	$.t.t	ADJ	dispersed;scattered	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$atawiy~	$atawiy~	$.t.w	ADJ	winter;wintery	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ATi}	$ATi}	$.T.>	NOUN	shore;coast;beach	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ATi}	$awATi}	$.T.>	NOUN	shores;coast;beach	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$ATi}	$uTo|n	$.T.>	NOUN	shores;coast;beach	pos:noun gen:- num:p rat:i cas:u	MS	
$ATir	$ATir	$.T.r	ADJ	clever;smart;cute	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ATir	$ATir	$.T.r	NOUN	clever;smart;cute	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
$ATir	$uT~Ar	$.T.r	ADJ	clever;smart;cute	pos:adj gen:m num:p rat:n cas:u	MS	
$ATir	$uT~Ar	$.T.r	NOUN	clever;smart;cute	pos:noun gen:m num:p rat:r cas:u	MS	
$Atiy	$At	$.t.w	ADJ	wintry;hibernal	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	#iy
$atiyl	$atA}il	$.t.l	NOUN	seedlings	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$atiyl	$atiyl	$.t.l	NOUN	seedling	pos:noun gen:- num:- rat:i cas:u	FS||FD	
$atiym	$atiym	$.t.m	ADJ	insulted	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$atiymap	$atA}im	$.t.m	NOUN	insults;invectives	pos:noun gen:f num:p rat:i cas:u	MS	#dip
$atiymap	$atiym	$.t.m	NOUN	insult;invective	pos:noun gen:- num:- rat:i cas:u	FS||FD	
$aTiyrap	$aTA}ir	$.T.r	NOUN	sandwiches	pos:noun gen:f num:p rat:i cas:u	MS	#dip
$aTiyrap	$aTiyr	$.T.r	NOUN	sandwich	pos:noun gen:- num:- rat:i cas:u	FS||FD	
$aTiyTap	$aTiyT	$.T.T	NOUN	hot_pepper	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$aTob	$aTob	$.T.b	NOUN	crossing_out;effacement;cancellation	pos:noun gen:- num:- rat:i cas:u	MS	
$aTob	$aTob	$.T.b	NOUN	robust;tall	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aTob	$uTuwb	$.T.b	NOUN	robust;tall	pos:noun gen:- num:p rat:i cas:u	MS	
$aTof	$aTof	$.T.f	NOUN	rinsing;washing	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aToH	$aToH	$.T.H	NOUN	roaming;roving	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aToHap	$aTaH	$.T.H	NOUN	escapades	pos:noun gen:f num:p rat:i cas:u	FP	
$aToHap	$aToH	$.T.H	NOUN	escapade	pos:noun gen:- num:- rat:i cas:u	FS||FD	
$atolap	$atal	$.t.l	NOUN	seedlings	pos:noun gen:- num:- rat:i cas:u	FP	
$atolap	$atol	$.t.l	NOUN	seedling	pos:noun gen:- num:- rat:i cas:u	FS||FD	
$arAr	$arAr	$.r.r	NOUN	sparks	pos:noun gen:- num:- rat:i cas:u	MS||MD	@collective
$atolap	$utuwl	$.t.l	NOUN	seedlings	pos:noun gen:f num:p rat:i cas:u	MS	
$atom	$atom	$.t.m	NOUN	abuse;vilification	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aTon	>a$oTAn	$.T.n	NOUN	ropes	pos:noun gen:- num:p rat:i cas:u	MS	
$aTon	$aTon	$.T.n	NOUN	fastening;attaching	pos:noun gen:- num:- rat:i cas:u	MS	
$aTon	$aTon	$.T.n	NOUN	rope	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aTor	>a$oTur	$.T.r	NOUN	portions	pos:noun gen:- num:p rat:i cas:u	MS	
$aTor	$aTor	$.T.r	NOUN	bisecting	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aTor	$aTor	$.T.r	NOUN_QUANT	Part,_portion,_division,_section	pos:noun_quant gen:- num:- rat:n cas:u	MS||MD	
$aTor	$uTuwr	$.T.r	NOUN	portions	pos:noun gen:- num:p rat:i cas:u	MS	
$aToranoj	$aToranoj	NTWS	NOUN	chess	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aToranojiy~	$aToranojiy~	NTWS	ADJ	chess	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
EafA'	EafA	E.f.w	NOUN	extinction;disuse	pos:noun gen:- num:- rat:i cas:u	MS	#A'@w
$aw~Al	$aw~Al	$.w.l	NOUN	months_of_Shawwal	pos:noun gen:m num:- rat:i cas:u	FP	
$aw~Al	$awAwiyl	$.w.l	NOUN	months_of_Shawwal	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$aw~Ayap	$aw~Ay	$.w.y	NOUN	grill;gridiron	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
$awA*~	$awA*~	$.*.*	NOUN	peculiarities;idiosyncrasies	pos:noun gen:- num:- rat:i cas:u	FP	
$awA$	$awA$	$.w.$	NOUN	muddle;confusion	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awAgil	$awAgil	$.g.l	NOUN	preoccupations;distractions	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$awah	$awah	$.w.h	NOUN	distortion	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awanodar	$awanodar	NTWS	NOUN	beet;chard	pos:noun gen:- num:- rat:i cas:u	MS	
$awAp	$aw	$.w.y	NOUN	scalps	pos:noun gen:f num:p rat:i cas:u	MS	#aY-Ap-y
$awAp	$aw	$.w.y	NOUN	scalp	pos:noun gen:- num:- rat:i cas:u	FS	
$awik	$awik	$.w.k	ADJ	thorny;prickly	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$awil	$awil	$.w.l	ADJ	expeditious;swift	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$Awirmap	$Awirm	NTWS	NOUN	broiled_mutton	pos:noun gen:- num:- rat:i cas:u	FS	
$Awirmap	$awirm	NTWS	NOUN	broiled_mutton	pos:noun gen:- num:- rat:i cas:u	FS	
$AwirmA	$Awirm	NTWS	NOUN	broiled_mutton	pos:noun gen:f num:- rat:i cas:u	MS	#aA
$awirmA	$awirm	NTWS	NOUN	broiled_mutton	pos:noun gen:f num:- rat:i cas:u	MS	#aA
$awiy~	$awiy~	$.w.y	ADJ	roasted;broiled	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$Awiy$	$Awiy$	NTWS	NOUN	police_sergeant	pos:noun gen:- num:- rat:r cas:u	MS	
$Awiy$	$Awiy$iy~	NTWS	NOUN	police_sergeants	pos:noun gen:m num:p rat:r cas:u	FS	
$awo*ar	$awo*ar	$.*.r	NOUN	chador	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awo$arap	$awo$ar	$.w.$.r	NOUN	noise;loud_quarrel	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$awob	>a$owAb	$.w.b	NOUN	mixtures	pos:noun gen:m num:p rat:i cas:u	MS	
$awob	$awob	$.w.b	NOUN	diluting;mixing	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awob	$awob	$.w.b	NOUN	mixture	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awobak	$awAbik	$.w.b.k	NOUN	rolling_pins	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$awobak	$awobak	$.w.b.k	NOUN	rolling_pin	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awobaq	$awAbiq	$.w.b.q	NOUN	rolling_pins	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$awobaq	$awobaq	$.w.b.q	NOUN	rolling_pin	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awofap	$awof	$.w.f	NOUN	spectacle	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$idoq	>a$odAq	$.d.q	NOUN	jaws	pos:noun gen:- num:p rat:i cas:u	MS	
$awok	$awok	$.w.k	NOUN	thorns;pricks	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awokap	$awok	$.w.k	NOUN	bravery	pos:noun gen:- num:- rat:i cas:u	FS	
$awokap	$awok	$.w.k	NOUN	fork	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$awokap	$awok	$.w.k	NOUN	thorn	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$awokarAn	$awokarAn	NTWS	NOUN	hemlock	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awokiy~	$awokiy~	$.w.k	ADJ	thorny;prickly	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$awolap	$awol	$.w.l	NOUN	comma;sting	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
$awolaqiy~	$awolaqiy~	$.w.l.q	ADJ	sweet-toothed	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$awoq	>a$owAq	$.w.q	NOUN	desires;wishes	pos:noun gen:- num:p rat:i cas:u	MS	
$awoq	$awoq	$.w.q	NOUN	desire;wish	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$awoT	>a$owAT	$.w.T	NOUN	rounds;phases;games	pos:noun gen:- num:p rat:i cas:u	MS	
$awoT	$awoT	$.w.T	NOUN	progress;headway	pos:noun gen:- num:- rat:i cas:u	MS	
$awoT	$awoT	$.w.T	NOUN	round;phase;game;half_period	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$Awu$	$Awu$	NTWS	NOUN	sergeant	pos:noun gen:- num:- rat:r cas:u	MS||MD	
$Awu$	$uw~A$	NTWS	NOUN	sergeants	pos:noun gen:- num:p rat:r cas:u	MS	
$ax~	$ax~	$.x.x	NOUN	urine	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ax~	$axAx	$.x.x	NOUN	urine	pos:noun gen:- num:p rat:i cas:u	MS	
$AxiS	$AxiS	$.x.S	ADJ	fixed;looming	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$axiyr	$axiyr	$.x.r	NOUN	snoring;braying	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$axiyS	$axiyS	$.x.S	ADJ	important;voluminous;dominant	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$axo$axap	$axo$ax	$.x.$.x	NOUN	rattle;rustle	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$axobaTap	$axobaT	$.x.b.T	NOUN	scribbling;scrawling	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$axoS	>a$oxAS	$.x.S	NOUN	individuals;persons	pos:noun gen:- num:p rat:r cas:u	MS	
$axoS	$axoS	$.x.S	NOUN	individual;person	pos:noun gen:- num:- rat:r cas:u	MS||MD	
$axoS	$uxuwS	$.x.S	NOUN	individuals;persons	pos:noun gen:- num:p rat:r cas:u	MS	
$axoSiy~	$axoSiy~	$.x.S	ADJ	private;personal	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$axoSiy~ap	$axoSiy~	$.x.S	NOUN	identity;person;personality;individual	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$axotuwr	$axAtiyr	$.x.t.r	NOUN	barges;punts	pos:noun gen:m num:p rat:i cas:u	MS	#dip
$axotuwr	$axotuwr	$.x.t.r	NOUN	barge;punt	pos:noun gen:- num:- rat:i cas:u	MS||MD||MP||FS||FD||FP	
$Ay	$Ay	NTWS	NOUN	tea	pos:noun gen:- num:- rat:i cas:u	MS	#aY-Ap-y
$ay~	$ay~	$.y.y	NOUN	roasting;grilling	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ay~AH	$ay~AH	$.y.H	NOUN	blotting_paper	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ay~AHap	$ay~AH	$.y.H	NOUN	blotter	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$ay~Al	$ay~Al	$.y.l	NOUN	porter;carrier	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
$ay~At	$ay~At	$.y.y	NOUN	shoe-shine	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ay~in	$ay~in	$.y.n	ADJ	disgraceful	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ay~iq	$ay~iq	$.y.q	ADJ	desirous;thrilling	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$AyiEap	$AyiE	$.y.E	NOUN	rumor	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
EalA'	EalA	E.l.w	NOUN	loftiness;height	pos:noun gen:- num:- rat:i cas:u	MS	#A'@w
$ayo'	$ay	$.y.>	NOUN	something;thing	pos:noun gen:- num:- rat:i cas:u	MS||MD	#o'-con
$ayo}iy~	$ayo}iy~	$.y.>	ADJ	objective;factual	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ayo}iy~ap	$ayo}iy~	$.y.>	NOUN	objective;target	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$ayob	$ayob	$.y.b	NOUN	gray_hair;old_age	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ayobAn	$ayobAn	$.y.b	NOUN	old	pos:noun gen:- num:- rat:r cas:u	MS||MD||FS||FD	
$ayobAniy~	$ayobAniy~	$.y.b	ADJ	old	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ayobap	$ayob	$.y.b	NOUN	absinthe	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$ayoham	$ayoham	$.y.h.m	NOUN	porcupine	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ayokarAn	$ayokarAn	NTWS	NOUN	hemlock	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ayolam	$ayolam	NTWS	NOUN	darnel	pos:noun gen:- num:- rat:i cas:u	MS	
$ayolap	$ayol	$.y.l	NOUN	burden;load	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
$ayon	$ayon	$.y.n	NOUN	disfigurement;disgracing	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ayoTAn	$ayATiyn	$.T.n	NOUN	devils	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$ayoTAn	$ayoTAn	$.T.n	ADJ	she-devil;shrew	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ayoTAn	$ayoTAn	$.T.n	NOUN	devil	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ayoTAn	$ayoTAn	$.T.n	NOUN	she-devil;shrew	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$ayoTanap	$ayoTan	$.T.n	NOUN	devilry;villainy;evil	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$ayoTAniy~	$ayoTAniy~	$.T.n	ADJ	satanic;devilish;evil	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ayox	>a$oyAx	$.y.x	NOUN	Sheikhs;chieftains	pos:noun gen:- num:p rat:r cas:u	MS	
$ayox	$ayox	$.y.x	ADJ	old_man	pos:adj gen:- num:- rat:n cas:u	MS||MD	
$ayox	$ayox	$.y.x	NOUN	matron;elderly_woman	pos:noun gen:f num:- rat:r cas:u	FS||FD||FP	
$ayox	$ayox	$.y.x	NOUN	Sheikh;chieftain	pos:noun gen:- num:- rat:r cas:u	MS||MD	
$ayox	$uyuwx	$.y.x	ADJ	old_people	pos:adj gen:m num:p rat:n cas:u	MS	
$ayox	$uyuwx	$.y.x	NOUN	senators	pos:noun gen:- num:p rat:r cas:u	MS	
$ayox	$uyuwx	$.y.x	NOUN	Sheikhs;chieftains	pos:noun gen:- num:p rat:r cas:u	MS	
$ayox	ma$A}ix	$.y.x	NOUN	Sheikhs;chieftains	pos:noun gen:- num:- rat:r cas:u	MS	#dip
$ayox	ma$Ayix	$.y.x	NOUN	Sheikhs;chieftains	pos:noun gen:- num:p rat:r cas:u	MS	#dip
$ayoxuwxap	$ayoxuwx	$.y.x	NOUN	old_age;seniority	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$ayoxuwxiy~	$ayoxuwxiy~	$.y.x	ADJ	old_age;senior	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$aZaf	$aZaf	$.Z.f	NOUN	hardship;privation	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$aZaf	$iZAf	$.Z.f	NOUN	hardships;privations	pos:noun gen:- num:p rat:i cas:u	MS	
$aZif	$aZif	$.Z.f	ADJ	austere;harsh	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$aZiy~ap	$aZAyA	$.Z.y	NOUN	splinters;slivers;smithereens	pos:noun gen:f num:p rat:i cas:u	MS	
$aZiy~ap	$aZiy~	$.Z.y	NOUN	splinter;sliver	pos:noun gen:- num:- rat:i cas:u	FS	
$i$om	$i$om	NTWS	NOUN	eye_powder	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$i$onajiy~	$i$onajiy~	NTWS	NOUN	assayer	pos:noun gen:- num:- rat:r cas:u	MS||MD||MP||FS||FD||FP	
$i$oniy~	$i$oniy~	NTWS	NOUN	specimen;sampling	pos:noun gen:- num:- rat:i cas:u	MS||MD||FS||FD	
$ibit~	$ibit~	NTWS	NOUN	dill	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ibiv~	$ibiv~	NTWS	NOUN	dill	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ibo$ib	$abA$ib	$.b.$.b	NOUN	slippers	pos:noun gen:- num:p rat:i cas:u	MS	#dip
$ibo$ib	$ibo$ib	$.b.$.b	NOUN	slippers	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$iboh	>a$obAh	$.b.h	NOUN	like;similar	pos:noun gen:- num:p rat:i cas:u	MS	
$iboh	$iboh	$.b.h	NOUN	like;almost;semi-	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ibol	>a$obAl	$.b.l	NOUN	cadets;scouts	pos:noun gen:- num:p rat:i cas:u	MS	
$ibol	>a$obAl	$.b.l	NOUN	lion_cubs	pos:noun gen:- num:p rat:i cas:u	MS	
$ibol	$ibol	$.b.l	NOUN	cadet;scout	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ibol	$ibol	$.b.l	NOUN	lion_cub	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ifot	$ufuwt	$.f.t	NOUN	clamps;tweezers	pos:noun gen:- num:p rat:i cas:u	MS	
$ibor	$ibor	$.b.r	NOUN	span_of_the_hand;foot	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$id~ap	$id~	$.d.d	NOUN	intensity;forcefulness	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
babor	bubuwr	b.b.r	NOUN	tigers	pos:noun gen:- num:p rat:i cas:u	MS	
$idoq	$idoq	$.d.q	NOUN	jaw	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$idoyAq	$adAyiq	$.d.y.q	NOUN	subdeacons	pos:noun gen:m num:p rat:i cas:u	FS	
$idoyAq	$idoyAq	$.d.y.q	NOUN	subdeacon	pos:noun gen:- num:- rat:i cas:u	MS	
$iEAr	$iEAr	$.E.r	NOUN	emblem;symbol	pos:noun gen:m num:- rat:i cas:u	MS||MD||FP	
$iEAr	$iEAr	$.E.r	NOUN	slogan;motto	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$iEAr	$iEAr	$.E.r	NOUN	slogans;mottos	pos:noun gen:m num:- rat:i cas:u	FP	
$iEAriy~	$iEAriy~	$.E.r	ADJ	emblematic;symbolic	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$iEob	$iEAb	$.E.b	NOUN	reefs;paths;passes;gorges	pos:noun gen:- num:p rat:i cas:u	MS	
$iEob	$iEob	$.E.b	NOUN	reef;path;pass;gorge	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$iEobap	$iEob	$.E.b	NOUN	reef	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$iEor	>a$oEAr	$.E.r	NOUN	poems	pos:noun gen:- num:p rat:i cas:u	MS	
$iEor	$iEor	$.E.r	NOUN	poetry	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$iEoriy~	$iEoriy~	$.E.r	ADJ	poetic	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$if~	$if~	$.f.f	NOUN	gauze;veil	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$if~	$ufuwf	$.f.f	NOUN	gauze;veils	pos:noun gen:- num:p rat:i cas:u	MS	
$ifA'	>a$ofiy	$.f.y	NOUN	remedies;medication	pos:noun gen:m num:p rat:i cas:u	FS	
EamA'	EamA	E.m.y	NOUN	heavy_clouds	pos:noun gen:- num:- rat:i cas:u	MS	#A'@w
$ifA}iy~	$ifA}iy~	$.f.w	ADJ	healing;curative;medicinal	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ifAhiy~	$ifAhiy~	$.f.h	ADJ	oral;verbal	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ifoniyn	$ifoniyn	$.f.n	NOUN	skate/ray	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ifor	$ifor	$.f.r	NOUN	cipher;code	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$iforap	$ifor	$.f.r	NOUN	cipher;code	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
$iforiy~	$iforiy~	$.f.r	ADJ	ciphered;in_code	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ifot	$ifot	$.f.t	NOUN	clamps;tweezers	pos:noun gen:- num:- rat:i cas:u	MS||MD	
bAl	bAl	b.w.l	NOUN	mind;attention	pos:noun gen:- num:- rat:i cas:u	MS	
$ifoti$iy	$ifoti$iy	NTWS	NOUN	filigree	pos:noun gen:- num:- rat:i cas:u	MS	
$iHA*ap	$iHA*	$.H.*	NOUN	begging	pos:noun gen:- num:- rat:i cas:u	FS||FD||FP	
$ihAb	$ihAb	$.h.b	NOUN	shooting_star;meteorite	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ihAb	$uhobAn	$.h.b	NOUN	shooting_stars;meteorites	pos:noun gen:m num:p rat:i cas:u	MS	
$ihAb	$uhub	$.h.b	NOUN	shooting_stars;meteorites	pos:noun gen:m num:p rat:i cas:u	MS	
$ihAbiy~	$ihAbiy~	$.h.b	ADJ	meteorite	pos:adj gen:- num:- rat:n cas:u	MS||MD||MP||FS||FD||FP	
$ijAb	$ijAb	$.j.b	NOUN	clothes_hook	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ijAr	$ijAr	$.j.r	NOUN	quarrel;dispute	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ijAr	$ijAr	$.j.r	NOUN	wooden_bar_or_bolt	pos:noun gen:- num:- rat:i cas:u	MS||MD	
EanA'	EanA	E.n.y	NOUN	hardship;preoccupation	pos:noun gen:- num:- rat:i cas:u	MS	#A'@w
$ikAl	$ikAl	$.k.l	NOUN	attachment;fetter	pos:noun gen:- num:- rat:i cas:u	MS||MD	
$ikArap	$akA}ir	$.k.r	NOUN	gunny_sacks	pos:noun gen:f num:p rat:i cas:u	MS	#dip
$ikArap	$ikAr	$.k.r	NOUN	gunny_sack	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
$ikAyap	$ikAy	$.k.w	NOUN	complaint;grievance	pos:noun gen:f num:- rat:i cas:u	FS||FD||FP	
$il~ap	$il~	$.l.l	NOUN	group;clique	pos:noun gen:- num:- rat:i cas:u	FS||FD	
$il~ap	$ilal	$.l.l	NOUN	groups;cliques	pos:noun gen:f num:p rat:i cas:u	MS	
$ilin	$ilin	NTWS	NOUN	shilling	pos:noun gen:- num:- rat:i cas:u	MS||MD	
